用户ID,注册时长,最近活跃天数,活跃频率,访问时长,使用功能数,累计消费金额,最近消费金额,消费频率,客单价,评论数,分享数,点赞数,反馈次数,客服咨询次数,投诉次数,评分均值,是否流失
745,796,6.35,4.78,6.39,2.9,121.17,16.68,1.49,10.85,8,1,19,0,1.0,0,3.46,0
746,368,1.09,1.59,19.7,5.38,172.68,13.59,1.24,23.32,3,1,15,0,1.0,0,3.91,0
747,535,7.67,6.1,3.28,2.27,1312.9,19.84,0.09,0.0,4,5,28,0,1.0,0,3.59,0
748,319,17.42,8.61,19.06,3.15,531.71,100.15,2.26,55.26,15,2,46,0,1.0,0,4.83,0
749,317,4.71,2.69,11.98,3.7,0.0,0.0,2.34,0.0,5,3,22,0,1.0,0,4.25,0
750,163,26.01,7.46,12.23,6.89,0.0,0.0,3.56,0.0,5,4,44,0,1.0,0,4.57,0
751,961,11.28,6.66,15.96,4.47,411.78,51.88,2.71,19.84,8,4,27,1,0.0,1,4.16,0
752,153,4.29,7.75,16.99,4.3,0.0,0.0,0.95,0.0,6,1,40,0,1.0,0,4.14,0
753,92,13.98,8.07,8.54,9.11,0.0,0.0,0.5,0.0,11,4,32,1,0.0,0,4.79,0
754,936,17.21,3.99,17.81,5.9,132.51,23.33,0.09,0.0,5,4,19,1,1.0,1,4.15,0
755,558,18.11,1.6,14.18,5.88,0.0,0.0,3.22,0.0,4,0,11,3,2.0,1,3.72,1
756,441,25.29,4.41,5.96,4.46,1781.0,94.63,0.74,486.96,3,2,25,1,2.0,1,2.97,1
757,739,3.0,8.11,12.48,4.01,231.44,17.75,3.23,21.61,13,5,36,1,1.0,0,4.54,0
758,387,25.31,4.39,21.79,1.0,0.0,0.0,2.18,0.0,3,5,26,1,0.0,0,3.56,0
759,134,26.93,4.0,23.56,7.14,0.0,0.0,1.96,0.0,5,2,20,1,3.0,2,3.76,1
760,731,4.14,,17.8,6.1,0.0,0.0,1.26,0.0,4,1,6,0,1.0,0,4.29,0
761,181,5.01,10.36,6.36,4.84,0.0,0.0,2.33,0.0,7,3,57,1,1.0,0,3.5,0
762,556,21.02,7.95,16.44,4.93,864.68,115.46,1.58,124.92,9,2,34,0,2.0,1,4.04,1
763,949,8.99,7.8,18.61,6.67,3508.54,750.62,1.19,324.93,6,5,41,0,,0,4.36,0
764,936,29.67,8.32,17.85,2.09,584.14,48.13,2.37,72.68,7,8,42,2,1.0,2,3.66,1
765,365,35.36,7.3,18.21,4.02,117.95,1.69,1.44,14.12,12,3,43,2,2.0,0,4.33,1
766,781,4.29,5.16,15.68,2.93,11.92,1.41,0.72,1.84,9,3,24,0,1.0,0,3.89,0
767,615,6.23,5.37,13.07,8.74,0.0,0.0,2.26,0.0,10,3,32,1,2.0,0,4.58,0
768,483,13.44,4.69,9.85,6.95,2914.55,89.51,1.53,498.13,4,4,22,0,,0,3.87,0
769,145,1.04,12.65,2.11,1.0,84.04,10.22,2.14,8.09,9,8,64,1,0.0,1,3.31,1
770,380,1.91,7.25,15.54,2.17,3096.36,134.72,1.1,390.68,7,5,30,0,1.0,0,4.62,0
771,654,5.6,4.59,14.62,4.94,1375.42,255.61,0.27,800.0,3,7,22,2,3.0,1,4.42,1
772,986,43.61,7.01,16.85,4.26,0.0,0.0,3.51,0.0,6,2,35,1,1.0,0,4.58,0
773,11,15.03,3.17,5.47,2.55,0.0,0.0,3.3,0.0,6,4,15,1,1.0,0,4.14,0
774,719,7.18,9.71,17.37,9.09,0.0,0.0,2.57,0.0,8,4,51,1,1.0,0,3.18,0
775,847,4.97,4.08,25.83,5.83,122.47,26.4,1.17,22.27,6,4,28,0,1.0,0,5.0,0
776,951,4.1,7.1,13.97,6.15,129.82,3.69,1.27,11.67,12,6,36,1,1.0,1,2.82,1
777,427,7.64,8.57,13.13,3.82,,632.83,3.12,433.95,13,4,44,0,0.0,0,4.57,0
778,124,7.27,6.8,15.35,6.64,0.0,0.0,1.21,0.0,5,4,37,0,0.0,1,5.0,0
779,276,10.35,6.05,25.69,4.44,257.23,4.8,0.9,46.77,5,2,28,1,2.0,3,3.28,1
780,851,17.81,5.83,7.36,4.63,497.33,41.87,3.66,37.3,7,4,32,1,1.0,0,4.41,0
781,878,11.66,5.65,14.72,6.42,152.8,8.78,1.55,16.23,7,1,45,2,1.0,1,4.11,1
782,639,21.91,4.3,8.7,1.94,200.42,41.98,3.55,8.63,4,2,32,1,3.0,2,3.66,1
783,128,9.76,4.63,10.22,8.39,0.0,0.0,0.06,0.0,2,7,29,0,0.0,0,5.0,0
784,128,37.17,9.65,13.2,5.56,198.76,33.35,2.17,10.51,14,5,53,4,4.0,1,3.44,1
785,481,21.53,5.52,21.58,7.76,422.77,35.97,3.88,11.63,9,2,35,1,1.0,0,3.72,0
786,591,14.72,3.76,24.31,3.05,309.81,8.98,1.63,22.3,2,3,24,2,2.0,0,4.07,1
787,39,17.85,4.46,16.19,3.35,463.51,88.02,1.31,49.99,6,5,23,3,0.0,0,5.0,0
788,688,7.82,8.66,11.24,2.88,1406.74,0.13,0.32,656.71,7,5,47,2,4.0,1,3.58,1
789,547,10.21,7.56,28.46,5.7,779.64,9.6,2.79,37.19,8,3,45,1,1.0,1,4.14,0
790,19,9.9,7.26,10.93,5.33,183.24,14.69,0.75,48.53,10,4,32,0,0.0,0,4.84,0
791,102,6.45,5.13,10.07,4.27,0.0,0.0,1.5,0.0,6,6,32,3,1.0,0,4.68,0
792,458,3.41,7.29,2.85,3.17,0.0,0.0,0.24,0.0,5,5,32,0,1.0,1,4.46,0
793,724,18.56,4.13,21.88,2.67,73.88,1.08,3.31,4.58,5,6,28,1,0.0,0,5.0,0
794,826,24.37,5.13,19.31,5.1,269.23,18.83,2.87,10.06,9,3,30,1,1.0,0,4.42,0
795,435,16.69,8.32,28.01,4.27,,0.0,1.57,0.0,13,4,32,2,4.0,1,3.65,1
796,300,11.63,8.07,5.16,3.83,0.0,0.0,0.33,0.0,9,6,36,1,1.0,0,4.33,0
797,968,48.53,3.25,22.25,8.29,0.0,0.0,3.29,0.0,5,4,26,3,2.0,1,3.71,1
798,462,7.1,3.58,13.92,5.04,0.0,0.0,1.2,0.0,4,3,25,0,0.0,1,5.0,0
799,320,15.1,6.08,18.34,7.74,68.95,4.36,0.38,56.15,7,2,31,0,0.0,0,3.96,0
800,446,26.83,10.29,3.61,4.13,0.0,0.0,0.0,0.0,8,4,49,2,1.0,0,4.52,1
